MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,HI_52_WK,LO_52_WK
N,ST,RITEZONE,RITE ZONE CHEMCON IND LTD,        18.65,        17.85,        17.85,        17.85,        17.85,                    28560.00,1600, ,        36.55,        13.80
N,SM,RNFI,RNFI SERVICES LIMITED,       254.10,       255.00,       256.95,       243.05,       248.65,                 14470980.00,58200, ,       404.00,       216.00
N,SM,ROCKINGDCE,ROCKINGDEALS CIRCU ECO L,       199.85,       200.00,       200.00,       189.85,       190.35,                   595175.00,3000, ,       283.85,       123.90
N,ST,ROXHITECH,ROX HI TECH LIMITED,        34.20,        34.50,        34.50,        33.05,        33.25,                   539600.00,16000, ,        56.40,        22.95
N,SM,RULKA,RULKA ELECTRICALS LIMITED,        99.40,        96.00,        96.00,        89.10,        92.55,                   888795.00,9600, ,       156.60,        72.95
N,SM,SATECH,S A TECH SOFTWARE INDIA L,        40.05,        40.25,        40.95,        38.10,        40.00,                   782350.00,20000, ,        63.25,        31.80
N,SM,SDREAMS,S D RETAIL LIMITED,        90.00,        90.00,        90.00,        90.00,        90.00,                   270000.00,3000, ,       147.00,        66.05
N,SM,SJLOGISTIC,S J LOGISTICS (INDIA) LTD,       361.55,       365.15,       389.00,       361.00,       380.75,                 26049287.50,69250, ,       528.80,       225.35
N,SM,SAAKSHI,SAAKSHI MEDTEC N PANELS L,       246.00,       238.00,       253.00,       238.00,       246.20,                  6832530.00,27600, ,       276.00,       133.00
N,SM,SACHEEROME,SACHEEROME LIMITED,       309.45,       315.00,       325.00,       306.00,       323.00,                  8576220.00,27300, ,       430.65,       140.50
N,SM,SADHAV,SADHAV SHIPPING LIMITED,       116.70,       115.75,       118.50,       112.00,       118.10,                  5442330.00,46800, ,       131.90,        86.30
N,SM,SAFEENTP,SAFE ENTER RETAIL FIX LTD,       274.95,       270.30,       274.95,       265.00,       267.60,                 12407725.00,46000, ,       319.00,       151.00
N,SM,SAHAJSOLAR,SAHAJ SOLAR LIMITED,       142.05,       144.40,       144.40,       137.70,       138.70,                  1399900.00,10000, ,       279.50,        91.00
N,SM,SAHANA,SAHANA SYSTEM LIMITED,       800.50,       800.00,       803.00,       780.00,       785.55,                  9668456.25,12250, ,      1730.00,       685.00
N,ST,SAHASRA,SAHASRA ELECTRONIC SOLU L,       312.95,       310.20,       313.00,       297.35,       297.40,                 16296500.00,54400, ,       373.00,       188.35
N,SM,SAIFL,SAMEERA AGRO AND INFRA L,         5.05,         5.10,         5.30,         5.05,         5.15,                  6034000.00,1156000, ,       111.90,         5.00
N,SM,SARTELE,SAR TELEVENTURE LIMITED,       130.35,       131.00,       132.00,       126.20,       130.30,                  5089050.00,39000, ,       275.95,       125.00
N,SM,SAROJA,SAROJA PHARMA INDUS IND L,        32.50,        31.05,        33.95,        31.05,        33.95,                   153680.00,4800, ,        60.00,        28.00
N,ST,SATKARTAR,SAT KARTAR LIFE LIMITED,       170.00,       170.10,       170.45,       164.00,       167.65,                  3334320.00,20000, ,       237.85,       124.00
N,SM,SSEGL,SATHLOKHAR SYN E&C GLOB L,       345.90,       350.00,       352.95,       341.05,       342.85,                  5895420.00,17000, ,       580.00,       283.00
N,SM,SATIPOLY,SATI POLY PLAST LIMITED,        34.45,        36.15,        36.15,        36.15,        36.15,                    54225.00,1500, ,        94.30,        27.15
N,SM,SATTVAENGG,SATTVA ENGINEERING CSTN L,        64.95,        62.15,        63.70,        62.15,        62.60,                   699280.00,11200, ,       118.90,        43.50
N,SM,SAVY,SAVY INFRA AND LOGI LTD,       138.55,       141.00,       141.00,       141.00,       141.00,                   676800.00,4800, ,       191.00,       115.50
N,SM,SAWALIYA,SAWALIYA FOOD PRODUCTS L,       304.10,       305.00,       306.00,       300.00,       300.20,                  7068630.00,23400, ,       351.00,       208.00
N,SM,SELLOWRAP,SELLOWRAP INDUSTRIES LTD,        71.10,        68.00,        71.00,        68.00,        71.00,                   222400.00,3200, ,       139.65,        62.10
N,SM,SHANTHALA,SHANTHALA FMCG PRODUCTS L,        22.00,        22.00,        22.00,        22.00,        22.00,                    26400.00,1200, ,        46.90,        20.90
N,SM,SCML,SHARP CHUCKS N MACHINES L,        80.60,        80.55,        82.00,        80.55,        81.00,                   814750.00,10000, ,       159.50,        68.05
