SYMBOL,SERIES,SECURITY,HIGH/LOW
ADDICTIVE,SM,ADDICTIVE LEARNING TECH L,L
ANSALAPI,BZ,ANSAL PROP & INFRA LTD,L
ARCIIL,ST,ARC INSULATION & INSU LTD,L
ARVINDPORT,ST,ARVIND PORT AND INFRA LTD,L
ASCOM,ST,ASCOM LEASIN & INVEST LTD,L
ASPIRE,SM,ASPIRE & INNOVATIVE ADV L,L
ASTRON,BE,ASTRON PAPER BORD MIL LTD,L
ATLANTAELE,BE,ATLANTA ELECTRICALS LTD,L
BALCO,ST,SOLVE PLASTIC PRODUCTS L,L
BHAGYANGR,BE,BHAGYANAGAR INDIA LIMITED,L
BIRLACABLE,BE,BIRLA CABLE LIMITED,L
BLUECOAST,BE,BLUE COAST HOTELS LIMITED,L
BNAGROCHEM,BE,BN AGROCHEM LTD.,L
BONLON,EQ,BONLON INDUSTRIES LIMITED,L
BOSS,SM,BOSS PACKAGING SOLU LTD,L
CALSOFT,BE,CALIFORNIA SOFTWARE CO LT,L
CBAZAAR,SM,NET AVENUE TECHNOLOGIES L,L
COFFEEDAY,BE,COFFEE DAY ENTERPRISE LTD,L
COMMITTED,ST,COMMITTED CARGO CARE LTD,L
DHANSA,ST,DHANSA LABS LIMITED,L
DHARAN,BZ,DHARAN INFRA-EPC LIMITED,L
DRONE,ST,DRONE DESTINATION LIMITED,L
DSSL,EQ,DYNACONS SYS & SOLN LTD,L
ESSEN-RE3,BE,INTEGRA ESSENTIA LTD,L
FELDVR,BZ,FUTURE ENTERPRISES LTD,L
FILATFASH,BE,FILATEX FASHIONS LIMITED,L
FLFL,BZ,FUT LIFESTYLE FASH LTD,L
GLOBALE,BE,GLOBALE TESSILE LIMITED,L
GRADIENTE,EQ,GRADIENTE INFOTAINMENT L,L
GSS,BE,GSS INFOTECH LIMITED,L
GVPIL,EQ,GE POWER INDIA LIMITED,L
HFCL,EQ,HFCL LIMITED,L
IL&FSTRANS,BZ,IL&FS TRANS NET LTD,L
INDOTECH,BE,INDO TECH TRANSFORM LTD.,L
INNOMET,ST,INNOMET ADVANCED MATERI L,L
KALANA,ST,KALANA ISPAT LIMITED,L
KANCHI,BE,KANCHI KARPOORAM LTD.,L
KDL,SM,KORE DIGITAL LIMITED,L
LAKPRE,BZ,LAKSHMI PRE SCRE LTD,L
LCCINFOTEC,BE,LCC INFOTECH LTD,L
LEMERITE,EQ,LE MERITE EXPORTS LIMITED,L
MAL,SM,MANGALAM ALLOYS LIMITED,L
MANAV,SM,MANAV INFRA PROJECTS LTD,L
MANORG,BE,MANGALAM ORGANICS LIMITED,L
MEP,BZ,MEP INFRA. DEVELOPERS LTD,L
MHHL,SM,MOHINI HEALTH&HYGIENE LTD,L
MIRCELECTR,BE,MIRCELECTR-DEPO,L
MMEL,ST,MOVING MEDIA ENTER LTD,L
MOBILISE,ST,MOBILISE APP LAB LIMITED,L
MPEL,SM,MANAS POLYMER N ENERGIE L,L
NAVKARURB,EQ,NAVKAR URBANSTRUCTURE LTD,L
NEELAM,SM,NEELAM LINENS & GAR (I) L,L
NEWJAISA,ST,NEWJAISA TECHNOLOGIES LTD,L
NFPSAMPOOR,ST,NFP SAMPOORNA FOODS LTD,L
NINSYS,BE,NINTEC SYSTEMS LIMITED,L
NOIDATOLL,BE,NOIDA TOLL BRIDGE CO LTD,L
OMFURN,ST,OMFURN INDIA LIMITED,L
ONDOOR,ST,ON DOOR CONCEPTS LIMITED,L
ORTEL,BZ,ORTEL COMMUNICATIONS LTD,L
OSIAHYPER,BE,OSIA HYPER RETAIL LIMITED,L
OWAIS,SM,OWAIS METAL & MINERAL,L
PARSVNATH,BE,PARSVNATH DEVELOPER LTD,L
PLADAINFO,SM,PLADA INFOTECH SERVICES L,L
PPSL,ST,PICTUREPOST STUDIOS LTD,L
RAJESHEXPO,BZ,RAJESH EXPORTS LTD,L
RAJTV,EQ,RAJ TV NETWORK LTD,L
REFRACTORY,SM,REFRACTORY SHAPES LIMITED,L
RHFL,BZ,RELIANCE HOME FINANCE LTD,L
RMC,BE,RMC SWITCHGEARS LIMITED,L
RUBYMILLS,BE,THE RUBY MILLS LTD,L
SABEVENTS,BE,SAB EVENTS & GOVERNANCE,L
SADBHIN,EQ,SADBHAV INFRA PROJ LTD.,L
SAHASRA,ST,SAHASRA ELECTRONIC SOLU L,L
SALSTEEL,BE,S.A.L. STEEL LTD.,L
SANWARIA,BZ,SANWARIA CONSUMER LIMITED,L
SETUINFRA,BZ,SETUBANDHAN INFRA LTD,L
SEYAIND,BE,SEYA INDUSTRIES LIMITED,L
SHRENIK,BZ,SHRENIK LIMITED,L
SIDDHIKA,SM,SIDDHIKA COATINGS LIMITED,L
SIGMAADV,BE,SIGMA ADVANCED SYSTEM LTD,L
SIGNORIA,SM,SIGNORIA CREATION LIMITED,L
SIMBHALS,BZ,SIMBHAOLI SUGARS LTD.,L
SONAMAC,ST,SONA MACHINERY LIMITED,L
SONUINFRA,SM,SONU INFRATECH LIMITED,L
STLNETWORK,BE,STL NETWORKS LIMITED,L
STLTECH,BE,STERLITE TECHNOLOGIES LTD,L
TECHERA,SM,TECHERA ENGINEER (IND) L,L
TECHLABS,ST,TRIDENT TECHLABS LIMITED,L
TERASOFT,EQ,TERA SOFTWARE LIMITED,L
THACKER,BE,THACKER & CO. LTD.,L
THESL,SM,THINKING HATS ENTER SOL L,L
UFBL,EQ,UNITED FOODBRANDS LIMITED,L
UHTL,ST,UNITED HEAT TRANSFER LTD,L
VERTEXPLUS,SM,VERTEXPLUS TECHNOLOGIES L,L
VERTOZ,BE,VERTOZ LIMITED,L
VIDYAWIRES,EQ,VIDYA WIRES LIMITED,L
VISACHROME,BE,VISA CHROME LIMITED,L
VIVO,SM,VIVO COLLAB SOLUTIONS LTD,L
VLINFRA,ST,V.L.INFRAPROJECTS LIMITED,L
VPRPL,BE,VISHNU PRAKASH R PUNGLI L,L
WALPAR,SM,WALPAR NUTRITIONS LIMITED,L
WINSOME,BZ,WINSOME YARNS LIMITED,L
WOL3D,ST,WOL 3D INDIA LIMITED,L
