MARKET,SERIES,SYMBOL,SECURITY,PREVIOUS CLOSE PRICE,OPEN PRICE,HIGH PRICE,LOW PRICE,CLOSE PRICE,NET TRADED VALUE,NET TRADED QTY,TRADES,52 WEEK HIGH,52 WEEK LOW,UNDERLYING
N,EQ,HDFCPVTBAN,HDFCAMC - HDFCPVTBAN,        26.88,        26.97,        27.09,        26.33,        26.67,                  6044342.38,226397,462,        30.17,        24.31,HDFC NIFTY PRIVATE BANK ETF
N,EQ,HDFCQUAL,HDFCAMC - HDFCQUAL,        56.83,        56.90,        56.96,        56.39,        56.66,                   228003.86,4027,123,        61.87,        51.91,HDFC NIFTY100 QUALITY 30 ETF
N,EQ,HDFCSENSEX,HDFCAMC - HDFCSENSEX,        83.87,        85.96,        85.96,        83.52,        83.91,                 12640897.27,150515,760,        98.48,        80.90,SENSEX
N,EQ,HDFCSILVER,HDFCAMC - HDFCSILVER,       246.69,       240.52,       245.17,       240.52,       243.53,                889330355.89,3656499,22411,       359.00,        93.30,HDFC SILVER ETF
N,EQ,HDFCSML250,HDFCAMC - HDFCSML250,       171.45,       173.03,       173.03,       170.40,       171.22,                262631988.48,1530614,9408,       183.18,       142.70,HDFC NIFTY SMALLCAP 250 ETF
N,EQ,HDFCVALUE,HDFCAMC - HDFCVALUE,       126.34,       126.34,       129.99,       125.97,       126.41,                   196322.40,1553,115,       147.05,       120.00,HDFC NIFTY50 VALUE 20 ETF
N,EQ,HEALTHADD,DSPAMC - HEALTHADD,       154.25,       155.09,       156.23,       154.66,       155.63,                   541824.27,3486,41,       163.16,       135.43,DSP NIFTY HEALTHCARE ETF
N,EQ,HEALTHCARE,MIRAEAMC - HEALTHCARE,        19.84,        19.80,        20.03,        19.80,        19.92,                  5424207.67,272913,114,        21.17,        17.18,NIFTY 500 HEALTHCARE INDEX
N,EQ,HEALTHIETF,ICICIPRAMC - ICICIPHARM,       157.26,       157.73,       159.00,       157.24,       158.27,                  9828552.93,62187,1193,       166.20,       138.65,NIFTY HEALTHCARE INDEX
N,EQ,HEALTHY,BIRLASLAMC - HEALTHY,        15.77,        15.37,        15.99,        15.37,        15.92,                  9412158.65,592975,957,        16.98,        13.58,NIFTY HEALTHCARE TRI
N,EQ,HNGSNGBEES,NIP IND ETF HANGSENG BEES,       510.68,       516.00,       516.00,       499.00,       501.73,                122112512.04,242808,11144,       579.92,       375.05,HANG SENG INDEX
N,EQ,HSBCGOLD,HSBCAMC - HSBCGOLD,       135.43,       135.00,       135.00,       134.50,       134.86,                    69027.45,512,26,       146.40,       121.36,COMMODITY
N,EQ,ICICIB22,ICICIPRAMC - BHARATIWIN,       118.70,       121.07,       121.07,       117.59,       118.23,                 51026156.47,432408,4019,       131.00,       103.60,S&P BSE BHARAT 22 INDEX
N,EQ,IDFNIFTYET,BANDHANAMC - IDFNIFTYET,       257.09,       258.20,       258.60,       256.23,       257.23,                    79308.76,308,41,       340.80,       244.32,NIFTY 50
N,EQ,INFRA,MIRAEAMC - INFRA,        12.00,        12.23,        12.28,        11.95,        12.00,                  1334050.52,110297,156,        12.60,        10.14,NIFTY INDIA INFRASTRUCTURE & LOGISTICS
N,EQ,INFRABEES,NIP IND ETF INFRA BEES,       952.22,       958.99,       958.99,       944.10,       948.64,                  6089774.11,6415,587,      1018.30,       871.35,NIFTY INFRA
N,EQ,INFRAIETF,ICICIPRAMC - ICICIINFRA,        94.45,        94.95,        95.11,        94.16,        94.62,                 12478272.73,132008,11103,       101.00,        86.80,ICICI PRUDENTIAL NIFTY INFRASTRUCTURE ETF
N,EQ,INTERNET,MIRAEAMC - INTERNET,        11.94,        12.18,        12.18,        11.88,        11.93,                   808062.35,67361,159,        16.12,        10.72,EQUITY INDEX
N,EQ,IT,KOTAKMAMC - KOTAKIT,        32.49,        31.67,        32.88,        31.67,        32.07,                  8928115.87,276899,1276,        44.49,        29.93,NIFTY IT INDEX
N,EQ,ITADD,DSPAMC - DSPIT,        31.09,        31.09,        31.14,        30.57,        30.68,                  1652004.30,53834,206,        41.92,        28.56,DSP NIFTY IT ETF
N,EQ,ITBEES,NIP IND ETF IT,        32.56,        33.04,        33.04,        32.12,        32.25,                421414761.85,13008414,20905,        44.27,        29.98,NIFTY IT TRI
N,EQ,ITBETA,UTIAMC-ITBETA,       307.49,       308.41,       308.41,       303.41,       303.82,                   239939.90,787,29,       410.00,       283.77,UTI NIFTY IT ETF
N,EQ,ITETF,MIRAEAMC - ITETF,        30.98,        30.93,        31.65,        30.61,        30.67,                 69390405.46,2257776,1325,        42.02,        28.59,MIRAE ASSET NIFTY IT ETF
N,EQ,ITIETF,ICICIPRAMC - ICICITECH,        32.61,        32.77,        32.87,        32.12,        32.23,                 19943526.09,616300,1963,        44.30,        29.98,NIFTY IT INDEX
N,EQ,IVZINGOLD,INVESCO INDIA GOLD ETF,       135.30,       134.60,       134.65,       133.90,       134.20,                   857972.90,6396,145,     15599.80,       127.50,GOLD
N,EQ,IVZINNIFTY,INVESCO INDIA NIFTY ETF,      2668.92,      2678.87,      2678.87,      2653.60,      2671.08,                   226637.57,85,12,      3150.00,      2511.00,NIFTY 50
N,EQ,JUNIORBEES,NIP IND ETF JUNIOR BEES,       756.08,       762.00,       762.30,       753.80,       757.76,                275816733.35,363807,10838,       780.89,       632.34,NIPPON INDIA ETF NIFTY NEXT 50 JUNIOR BEES
N,EQ,LICMFGOLD,LIC MF - LIC GOLD ETF,       140.10,       139.95,       139.95,       138.85,       139.25,                  3508086.65,25196,463,     16200.00,       117.85,GOLD
N,EQ,LICNETFGSC,LICNAMC - LICNMFET,        28.79,        28.84,        28.92,        28.77,        28.91,                   406613.66,14065,87,        30.05,        27.42,GSEC10 NSE INDEX
N,EQ,LICNETFN50,LICNAMC - LICNFENGP,       261.45,       262.74,       262.86,       260.00,       261.04,                   441588.11,1689,30,       295.00,       248.17,NIFTY 50
N,EQ,LICNETFSEN,LICNAMC - LICNFESGP,       837.44,       840.78,       841.61,       831.08,       836.52,                    59500.91,71,9,       974.02,       803.00,SENSEX
N,EQ,LICNFNHGP,LICNAMC - LICNFNHGP,       267.22,       268.03,       268.03,       264.90,       266.89,                    32901.78,123,16,       296.41,       248.02,NIFTY 100
N,EQ,LICNMID100,LICNAMC - LICNMID100,        61.57,        61.74,        61.95,        61.02,        61.23,                    84417.60,1373,72,        67.50,        52.30,LIC MF NIFTY MIDCAP 100 ETF
N,EQ,LIQGRWBEES,NIPPONAMC - LIQGRWBEES,      1042.06,      1042.46,      1042.49,      1042.46,      1042.47,                 16216756.58,15556,132,      1056.29,       995.55,LIQUID
